#wavelength,flux
       809.0000, 2.318152e-20
       811.0000, 2.311393e-20
       813.0000, 2.304711e-20
       815.0000, 2.298029e-20
       817.0000, 2.291347e-20
       819.0000, 2.282256e-20
       821.0000, 2.286918e-20
       823.0000, 2.281480e-20
       825.0000, 2.276585e-20
       827.0000, 2.274487e-20
       829.0000, 2.267650e-20
       831.0000, 2.259025e-20
       833.0000, 2.239756e-20
       835.0000, 2.220332e-20
       837.0000, 2.203162e-20
       839.0000, 2.169597e-20
       841.0000, 2.139528e-20
       843.0000, 2.122668e-20
       845.0000, 2.121269e-20
       847.0000, 2.053285e-20
       849.0000, 2.144500e-20
       851.0000, 2.013815e-20
       853.0000, 2.189098e-20
       855.0000, 1.918948e-20
       857.0000, 2.264542e-20
       859.0000, 2.042019e-20
       861.0000, 1.997654e-20
       863.0000, 2.338431e-20
       865.0000, 2.185369e-20
       867.0000, 1.802869e-20
       869.0000, 2.276973e-20
       871.0000, 2.405561e-20
       873.0000, 2.263143e-20
       875.0000, 1.765963e-20
       877.0000, 2.148075e-20
       879.0000, 2.399578e-20
       881.0000, 2.437960e-20
       883.0000, 2.367723e-20
       885.0000, 2.065328e-20
       887.0000, 1.747782e-20
       889.0000, 2.249158e-20
       891.0000, 2.397480e-20
       893.0000, 2.428559e-20
       895.0000, 2.430579e-20
       897.0000, 2.388079e-20
       899.0000, 2.245584e-20
       901.0000, 1.763555e-20
       903.0000, 1.939226e-20
       905.0000, 2.283266e-20
       907.0000, 2.359176e-20
       909.0000, 2.367878e-20
       911.0000, 2.389167e-20
       913.0000, 2.389788e-20
       915.0000, 2.377746e-20
       917.0000, 2.351251e-20
       919.0000, 2.287074e-20
       921.0000, 2.088870e-20
       923.0000, 1.622147e-20
       925.0000, 2.019798e-20
       927.0000, 2.225460e-20
       929.0000, 2.307275e-20
       931.0000, 2.322659e-20
       933.0000, 2.324135e-20
       935.0000, 2.321338e-20
       937.0000, 2.316055e-20
       939.0000, 2.306342e-20
       941.0000, 2.286297e-20
       943.0000, 2.291891e-20
       945.0000, 2.280936e-20
       947.0000, 2.264620e-20
       949.0000, 2.235328e-20
       951.0000, 2.163847e-20
       953.0000, 1.944821e-20
       955.0000, 1.566594e-20
       957.0000, 1.983514e-20
       959.0000, 2.155223e-20
       961.0000, 2.199587e-20
       963.0000, 2.204871e-20
       965.0000, 2.215904e-20
       967.0000, 2.204948e-20
       969.0000, 2.208522e-20
       971.0000, 2.207124e-20
       973.0000, 2.200986e-20
       975.0000, 2.193993e-20
       977.0000, 2.188244e-20
       979.0000, 2.181717e-20
       981.0000, 2.175035e-20
       983.0000, 2.168043e-20
       985.0000, 2.160817e-20
       987.0000, 2.154601e-20
       989.0000, 2.141470e-20
       991.0000, 2.137120e-20
       993.0000, 2.127563e-20
       995.0000, 2.118162e-20
       997.0000, 2.104099e-20
       999.0000, 2.079235e-20
       1002.500, 1.868367e-20
       1007.500, 1.791215e-20
       1012.500, 2.041941e-20
       1017.500, 2.053906e-20
       1022.500, 2.046758e-20
       1027.500, 2.032618e-20
       1032.500, 2.017778e-20
       1037.500, 2.003637e-20
       1042.500, 1.989574e-20
       1047.500, 1.971859e-20
       1052.500, 1.958884e-20
       1057.500, 1.946608e-20
       1062.500, 1.933632e-20
       1067.500, 1.904419e-20
       1072.500, 1.898980e-20
       1077.500, 1.888569e-20
       1082.500, 1.868989e-20
       1087.500, 1.826722e-20
       1092.500, 1.535438e-20
       1097.500, 1.694172e-20
       1102.500, 1.809784e-20
       1107.500, 1.812504e-20
       1112.500, 1.805355e-20
       1117.500, 1.794245e-20
       1122.500, 1.782590e-20
       1127.500, 1.757494e-20
       1132.500, 1.747161e-20
       1137.500, 1.745995e-20
       1142.500, 1.733719e-20
       1147.500, 1.724240e-20
       1152.500, 1.713285e-20
       1157.500, 1.701786e-20
       1162.500, 1.686324e-20
       1167.500, 1.670941e-20
       1172.500, 1.668920e-20
       1177.500, 1.644835e-20
       1182.500, 1.642659e-20
       1187.500, 1.629994e-20
       1192.500, 1.626654e-20
       1197.500, 1.611891e-20
       1202.500, 1.605287e-20
       1207.500, 1.593477e-20
       1212.500, 1.584231e-20
       1217.500, 1.575218e-20
       1222.500, 1.565040e-20
       1227.500, 1.554318e-20
       1232.500, 1.544995e-20
       1237.500, 1.535904e-20
       1242.500, 1.527124e-20
       1247.500, 1.515548e-20
       1252.500, 1.507933e-20
       1257.500, 1.495269e-20
       1262.500, 1.486645e-20
       1267.500, 1.475378e-20
       1272.500, 1.457664e-20
       1277.500, 1.397060e-20
       1282.500, 1.205228e-20
       1287.500, 1.396050e-20
       1292.500, 1.425420e-20
       1297.500, 1.423633e-20
       1302.500, 1.419126e-20
       1307.500, 1.410890e-20
       1312.500, 1.402421e-20
       1317.500, 1.392166e-20
       1322.500, 1.385950e-20
       1327.500, 1.377869e-20
       1332.500, 1.369789e-20
       1337.500, 1.361708e-20
       1342.500, 1.353706e-20
       1347.500, 1.345470e-20
       1352.500, 1.336923e-20
       1357.500, 1.329465e-20
       1362.500, 1.322239e-20
       1367.500, 1.314158e-20
